,Unnamed: 0,title,date,stock,sub_category,sub_category_predicted_score,parent_category,parent_predicted_score,TRUE LABEL
110,657402,Benzinga's Top Upgrades,2012-12-03 07:06:00-05:00,IGT,Stock Trends,0.143006712,Market Trends,0.355301946,
561,514350,"Stephens & Co. Initiates Coverage on Farmland Partners  at Overweight, Announces $16.00 PT",2014-05-07 09:23:00-04:00,FPI,Fund Activities,0.143018633,Company News,0.482209384,
874,1161377,Synta Presents Positive One-Year Follow-up Results for GALAXY-1 Trial of Ganetespib in NSCLC at 15th World Conference on Lung Cancer,2013-10-26 10:12:00-04:00,SNTA,Tech Developments,0.14312546,Company News,0.431113392,
1116,622923,Argus Upgrades Harley-Davidson to Buy,2017-10-20 08:01:00-04:00,HOG,Fund Activities,0.143289909,Industry Updates,0.320236474,
467,75839,Top 4 Stocks In The Investment Brokerage-National Industry With The Highest Operating Margin,2012-01-30 04:15:00-05:00,AMTD,Investment Strategies,0.14343451,Market Trends,0.442333072,
743,207314,"Option Alert: Sep $31 Call; 7,089 Contracts Traded vs 5,672 OI; Currently $30.83",2014-07-23 10:37:00-04:00,CAG,Investment Strategies,0.143634424,Investment News,0.272544235,
983,1161671,UPDATE: Jefferies Raises PT on Synovus Financial Following TARP Announcement,2013-07-22 11:17:00-04:00,SNV,Stock Trends,0.144121855,Investment News,0.401653707,
655,1054560,"DA Davidson Downgrades Qualys to Neutral, Lowers PT to $25.00",2016-02-09 08:04:00-05:00,QLYS,Stock Trends,0.144184068,Investment News,0.435334831,
5,315074,The Deal Says Citrix Is Not Exploring A Possible Sale,2019-04-04 09:37:00-04:00,CTXS,M&A,0.144347921,Company News,0.504604399,
1167,673139,UPDATE: Innerworkings Spikes Lower on Report from Prescient Point,2013-04-30 11:04:00-04:00,INWK,Stock Trends,0.144472465,Company News,0.324109316,
336,1165916,"Sotherly Hotels Reports Successful Execution of $35M Secured Loan on Hilton Wilmington Riverside Hotel in Wilmington, North Carolina",2016-12-01 16:00:00-05:00,SOHO,Earnings,0.144545689,Company News,0.609891415,
434,1111569,Bank of America Downgrades Ryanair Holdings plc to Underperform,2013-07-29 07:47:00-04:00,RYAAY,Banking News,0.144585371,Company News,0.313821733,
949,114624,Notable Call Options Activity in AvalonBay Communities,2011-08-18 13:10:00-04:00,AVB,Asset Trends,0.144628718,Investment News,0.293324739,
754,411075,8×8 (NASDAQ:EGHT) – A Jim Cramer Buyer Frenzy,2011-06-08 05:06:00-04:00,EGHT,Investment Strategies,0.145047814,Investment News,0.495775312,
200,63548,Wedbush Raises PT on Allot Communications to $20,2011-12-16 06:41:00-05:00,ALLT,Stock Trends,0.145276234,Investment News,0.427833408,
553,32817,UPDATE: J.P. Morgan Raises PT on Aegerion Pharmaceuticals in Continuing Doc Rounds Series,2013-05-29 10:44:00-04:00,AEGR,Stock Trends,0.14615275,Investment News,0.362078965,
1003,292801,Benzinga's Top Initiations,2015-01-21 09:14:00-05:00,CPTA,Leadership,0.146438375,Market Trends,0.443695515,
386,888419,"Novabay Pharmaceuticals Chiarman Najafi Buys 50,000 Shares @$0.65 -Form 4",2014-12-15 13:07:00-05:00,NBY,Investment Strategies,0.146589905,Investment News,0.362455249,
800,658456,Interval Leisure Group Increases Buyback From $25M To $100M,2016-05-16 09:01:00-04:00,IILG,M&A,0.146671355,Market Trends,0.267363936,
1159,780145,Lipcine Says the FDA is Satisfied with its Approach to Collect Data for the Resubmission of TLANDO,2020-02-24 07:00:00-05:00,LPCN,Legal & Regulatory,0.146818697,Company News,0.470939308,
905,1367102,"Williams Partners Brings Two Units Back into Service at Opal, WY Gas-Processing Plant ",2014-05-01 08:14:00-04:00,WPZ,GDP,0.146842942,Company News,0.481335312,
1121,959091,Ocean Power Technologies Signs Agreement with Eni S.p.A. to Provide PB3 PowerBuoy for Subsea Oil and Gas Operations,2018-03-19 08:48:00-04:00,OPTT,Tech Developments,0.146922007,Company News,0.454495698,
748,1276801,"Wunderlich Maintains Buy on Time Warner Inc., Raises PT to $83.00",2013-07-22 07:48:00-04:00,TWX,Stock Trends,0.147195876,Investment News,0.34185192,
892,788407,Notable Call Options Activity in Lexmark International,2011-09-06 14:29:00-04:00,LXK,Stock Trends,0.147691756,Market Trends,0.241015419,
143,891637,How To Trade The Expected Expansion In U.S. Infrastructure Spending,2017-02-15 10:54:00-05:00,NDSN,Fund Activities,0.148028105,Economic Indicators,0.278206974,
1067,1238292,"Toyota Recalling 361,000 Older Vehicles Worldwide For Potential Air Bag Inflator Defect",2020-01-22 09:36:00-05:00,TM,Leadership,0.148057655,Global Events,0.45540148,
649,1364297,"Credit Suisse Maintains Outperform on Western Refining, Lowers PT to $35.00",2016-04-11 06:30:00-04:00,WNR,Stock Trends,0.148064017,Company News,0.298190415,
576,670882,Insys Therapeutics Files to Offer 4M Shares in $16-18/Share Range,2013-04-19 15:59:00-04:00,INSY,Stock Trends,0.148225725,Company News,0.529707074,
1063,660662,Illumina's Board Unanimously Rejects Roche's Unsolicited Tender Offer as Inadequate  ,2012-02-07 16:05:00-05:00,ILMN,Leadership,0.148401305,Company News,0.453884363,
890,1267270,"Stifel Nicolaus Initiates Coverage on Total System Services, Inc. at Hold",2014-04-04 07:29:00-04:00,TSS,Stock Trends,0.148470908,Investment News,0.41785261,
747,770435,"Credit Suisse Maintains Neutral on Lockheed Martin, Lowers Price Target to $433",2020-04-22 08:20:00-04:00,LMT,Stock Trends,0.148527905,Investment News,0.396907419,
948,209054,"Oppenheimer Initiates Coverage on Callidus Software at Outperform, Announces PT of $8",2012-05-25 06:45:00-04:00,CALD,Stock Trends,0.148801044,Investment News,0.38284722,
864,594605,Imperial Capital Upgrades Hawaiian Holdings To Outperform,2015-03-25 08:40:00-04:00,HA,Investment Strategies,0.149063498,Investment News,0.364377409,
230,614119,Shares of several banks and financial services companies are trading lower amid market weakness as macro concerns continue to grow as a result of the coronavirus pandemic. The coronavirus has led to lower investment and economic activity across sectors.,2020-04-01 10:08:00-04:00,HIG,Stock Trends,0.149146259,Global Events,0.21504207,
647,1043724,Penn Virginia Receives Approximately $21M in Preferential Right Payments ,2013-06-18 07:04:00-04:00,PVA,Earnings,0.149175957,Company News,0.299981236,
620,983122,"Prima Biomed Announced LAG-3LG (IMP321) DemonstratesPositive Safety and Efficacy Qualities	in Breast Cancer Clinical Trial #ASCO17",2017-06-04 19:35:00-04:00,PBMD,Product Launches,0.149407223,Company News,0.555171549,
625,1325114,"Imperial Capital Maintains Outperform on Verint Systems Inc., Raises PT to $51.00",2014-01-16 06:25:00-05:00,VRNT,Stock Trends,0.149923787,Investment News,0.361606807,
226,309094,Freight Rail Seeks Ways To Stay Afloat Amid Sinking Rail Volumes,2019-11-25 11:41:00-05:00,CSX,Asset Trends,0.150013879,Company News,0.316770196,
742,205418,UPDATE: Feltl Downgrades Cabela's; Raises PT,2012-04-17 09:45:00-04:00,CAB,Earnings,0.150113687,Company News,0.339892834,
804,1123242,"Wells Fargo Maintains Equal-Weight on Sealed Air, Lowers Price Target to $38",2020-02-18 07:25:00-05:00,SEE,Banking News,0.150291309,Company News,0.392903715,
885,1096697,"The Week Ahead In Biotech: Conferences, PDUFA Dates And Clinical Trials",2019-01-13 15:50:00-05:00,RNN,Fund Activities,0.150456965,Industry Updates,0.585493207,
680,525979,"UPDATE: Deutsche Bank Raises Target to $29 on HB Fuller, Maintains Hold",2012-01-23 09:10:00-05:00,FUL,Stock Trends,0.151049539,Investment News,0.386267811,
638,948548,Janney Capital Initiates Coverage on OFS Capital at Neutral,2015-05-07 06:10:00-04:00,OFS,Fund Activities,0.151371598,Investment News,0.333038688,
1115,16257,S1 Corp Received Unsolicited Proposal From ACI Worldwide ,2011-08-25 16:51:00-04:00,ACIW,Leadership,0.151529953,Company News,0.537469625,
765,820989,PL Capital Notifies Metro Bancorp Of Its Intent To Nominate One Or More Directors,2014-10-14 16:39:00-04:00,METR,Banking News,0.152003795,Company News,0.665567875,
694,1227088,Jefferies Initiates THC With Buy,2011-04-14 06:47:00-04:00,THC,Investment Strategies,0.152038381,Investment News,0.345240235,
395,1011203,"Citigroup Initiates Coverage On Pier 1 Imports with Neutral Rating, Announces $7.00 Price Target",2017-04-28 07:56:00-04:00,PIR,Stock Trends,0.152133882,Investment News,0.41187337,
881,629263,"B. Riley FBR Maintains Neutral on Horizon Tech Finance, Lowers Price Target to $8.5",2020-03-24 07:39:00-04:00,HRZN,Fund Activities,0.152330995,Investment News,0.365045637,
869,1403189,Fast Money Traders Share Their Thoughts On Eli Lilly and And The Restaurant Sector,2015-10-13 06:43:00-04:00,YUM,Stock Trends,0.152344897,Market Trends,0.436550379,
629,560425,Campbell Soup Seeks K-Cup Revenue Boost (CPB),2013-09-08 19:20:00-04:00,GMCR,Earnings,0.152563021,Company News,0.554286838,
303,195015,Anheuser-Busch Inbev To Exercise Option To Redeem 7.20% Notes -Bloomberg ,2011-05-19 16:57:00-04:00,BUD,Currency Rates,0.15278928,Company News,0.473909825,
1001,238060,Sterne Agee Downgrades Chesapeake Energy to Underperform,2015-03-19 07:09:00-04:00,CHK,Stock Trends,0.152886912,Company News,0.317427576,
606,679513,"Raymond James Downgrades iRobot to Outperform, Lowers PT to $41.00",2015-03-18 06:06:00-04:00,IRBT,Stock Trends,0.153258279,Investment News,0.38961637,
970,1121422,"Raymond James Reinstated Outperform on Select Comfort Corporation, Announced $21.00 PT",2013-04-18 10:05:00-04:00,SCSS,Stock Trends,0.153344601,Investment News,0.403230458,
361,1046181,Perfect World Responds to Recent Anonymous Accusations; Believes Allegations Are Inaccurate  ,2012-01-10 10:34:00-05:00,PWRD,Fund Activities,0.153428525,Company News,0.353458405,
668,60440,"Credit Suisse Maintains Neutral on Alon USA Energy, Inc., Raises PT to $19.00",2013-01-17 07:20:00-05:00,ALJ,Stock Trends,0.153703958,Company News,0.334018618,
1029,1029156,"Jefferies & Company Downgrades PPL from Buy to Hold, Lowers PT from $31.5 to $27.5",2012-04-30 06:28:00-04:00,PPL,Stock Trends,0.153749064,Company News,0.452269375,
1000,711015,J.P. Morgan Reiterates Neutral on Juniper Networks,2011-10-19 08:13:00-04:00,JNPR,Tech Developments,0.154229626,Company News,0.397440583,
1076,1198628,UPDATE: JANA 13F Shows Liquidated ~12.36M Share Stake in SUPERVALU,2015-08-14 07:23:00-04:00,SVU,Fund Activities,0.154653341,Investment News,0.400581568,
390,259463,"UPDATE: Cheetah Mobile Says Has Temporarily Taken Down 2 Other Apps, Battery Doctor, CM Locker From Google Play",2018-12-04 09:24:00-05:00,CMCM,Tech Developments,0.154877648,Company News,0.382243693,
552,1272296,Hearing Itau BBA Upgraded Grupo Televisa From Market Perform to Outperform,2017-11-30 09:30:00-05:00,TV,Stock Trends,0.155288398,Company News,0.403359652,
968,242774,12 Biggest Mid-Day Losers For Thursday,2017-08-24 12:51:00-04:00,CHU,M&A,0.155833155,Company News,0.233614072,
353,1244573,Tonix Pharma To Resume Trade At 8:30 a.m. EDT,2018-07-27 08:26:00-04:00,TNXP,Leadership,0.15642491,Company News,0.369042516,
579,731748,"Credit Suisse Initiates Coverage On Kinder Morgan with Outperform Rating, Announces $23.00 Price Target",2018-01-05 08:12:00-05:00,KMI,Stock Trends,0.15654251,Investment News,0.473408759,
265,863885,Anika Therapeutics Announces U.S. Distribution Agreement for Advanced Wound Care Product,2011-06-01 16:18:00-04:00,MSON,Product Launches,0.157579765,Company News,0.603571713,
329,496890,Annual Shareholder Meetings Being Held Today By: Fiserv and MGP Ingredients,2018-05-23 07:05:00-04:00,FISV,Leadership,0.158241212,Investment News,0.348261118,
1137,375493,"DowDuPont Shareholders Have Approved Reverse Stock Split, Won't Be Less Than 2-For-5, Not More Than 1-for-3",2019-05-23 16:15:00-04:00,DOW,Leadership,0.158685222,Company News,0.464301974,
277,1069184,Moody's Affirms Ratings on Rent-A-Center; Outlook Lowered from Positive to Stable,2013-04-29 11:58:00-04:00,RCII,Leadership,0.158716813,Company News,0.28198421,
311,1384877,"Benzinga Pro Morning Price Check For Sector ETFs:  Financials (XLF) Up 0.3%, Staples (VDC) Up 0.3%,Healthcare (IYH) Flat 0.04%, Industrials (VIS) Down 0.2%, Retail (XRT) Down 0.4%, Technology (XLK) Down 1.1%, Energy (XLE) Down 1.2%",2019-04-26 09:47:00-04:00,XLK,Health Crises,0.158766031,Industry Updates,0.279257983,
1114,1320419,15 Biggest Mid-Day Losers For Thursday,2017-01-19 13:25:00-05:00,VNOM,M&A,0.158902496,Company News,0.233292624,
675,23215,Adobe Security Breach Affects 2.9 Million Users; Are Investors Aware?,2013-10-04 13:25:00-04:00,ADBE,Leadership,0.159072459,Company News,0.479965776,
497,1338102,Wabtec Signs $9M Contract To Provide PTC Equipment/Services For San Diego Rail Line,2013-07-22 08:36:00-04:00,WAB,Asset Trends,0.159751102,Company News,0.41550523,
174,821452,Insurers Could Drop Long-Term Care,2010-11-23 15:37:00-05:00,MFC,Health Crises,0.160822198,Market Trends,0.327902257,
266,1029870,MAA Shareholders to Own 67.7% of MAA and Post Properties Combined Firm,2016-08-15 06:33:00-04:00,PPS,M&A,0.161025628,Market Trends,0.192576513,
165,369331,"Wells Fargo Initiates Coverage On Dollar Tree with Outperform Rating, Announces $106.00 Price Target",2017-11-03 07:45:00-04:00,DLTR,Stock Trends,0.161397204,Investment News,0.473879278,
797,1168592,"4 ETFs for the Fourth of July  (CORN, FCG, SOXS)",2012-07-03 15:05:00-04:00,SOXS,Fund Activities,0.161624297,Global Events,0.223497182,
924,176145,"Bristol-Myers Squibb, Pfizer to Highlight Commitment to Reducing the Risk of Stroke Caused by Non-Valvular Atrial Fibrillation and Treating Deep Vein Thrombosis/Pulmonary Embolism  at ESC Congress 2017",2017-08-18 07:00:00-04:00,BMY,Health Crises,0.161673948,Industry Updates,0.322356224,
383,1060308,"Quad Cuts FY19 Net Sales Guidance From $4.05B-$4.25B To ~$3.9B, Adj. EBITDA From $360M-$400M To $300M-$330M",2019-10-29 17:35:00-04:00,QUAD,Leadership,0.161967978,Company News,0.43734017,
491,171048,"Bank of America to Trim BlackRock Stake? (BAC, BLK)",2010-08-16 06:03:00-04:00,BLK,Banking News,0.162620306,Investment News,0.314503491,
430,402935,U.S. Government Expands BioThrax Procurement Contract to 17.92M Doses from 14.5M Increasing Contract Value by up to $101 Million (EBS),2011-05-02 16:42:00-04:00,EBS,Earnings,0.162648246,Company News,0.219693273,
484,266952,"JP Morgan Maintains Overweight on CMS Energy, Lowers Price Target to $71",2019-10-14 09:20:00-04:00,CMS,Investment Strategies,0.162777558,Investment News,0.372154027,
557,803002,"UPDATE: SEC Says Ariel Darvasi and Amir Waldman Were Connected To MobilEye Insiders Via Hebrew University Of Jerusalem, Conducted 'Remarkably Timed' Purchases",2017-03-23 15:01:00-04:00,MBLY,Legal & Regulatory,0.162995473,Industry Updates,0.235305116,
131,336177,"Guggenheim Initiates Coverage On Dana with Buy Rating, Announces $27.00 Price Target",2017-06-21 06:28:00-04:00,DAN,Investment Strategies,0.163263902,Investment News,0.53427273,
910,1390249,"Benzinga's Top Pre-Market NASDAQ Losers (XOMA, VECO, CREE, AIXG)",2011-03-23 08:15:00-04:00,XOMA,Stock Trends,0.163298219,Market Trends,0.266667902,
464,1116530,JP Morgan Assesses U.S. Telecom and Cable Services Sector,2010-07-22 10:43:00-04:00,SBAC,Leadership,0.16392678,Company News,0.282730699,
169,611740,"Goldman Sachs Maintains Buy on Holly Energy Partners, Raises PT to $35.00",2016-03-18 06:49:00-04:00,HEP,Stock Trends,0.164229676,Investment News,0.427236319,
360,466791,"Benzinga Pro Mid-Day Price Check For Regional ETFs: US (SPY) Up 0.8%, Australia (EWA) Up 0.5%, Japan (EWJ) Up 0.5%, Canada (EWC) Up 0.5%, Russia (RSX) Up 0.5%, Brazil (EWZ) Up 0.3%, Europe (VGK) Up 1%, India (INDA) Down 0.1%",2019-03-13 13:51:00-04:00,EWZ,Fund Activities,0.164390206,Market Trends,0.330690116,
923,836050,"Cantor Fitzgerald Initiates Coverage On Mallinckrodt plc Ordinary Shares with Overweight Rating, Announces $52.00 Price Target",2017-06-16 06:26:00-04:00,MNK,Investment Strategies,0.164443105,Investment News,0.434757203,
500,197947,Time To Ditch Chicken Wings And Buffalo Wild Wings Stock?,2016-02-04 09:32:00-05:00,BWLD,Stock Trends,0.164563715,Market Trends,0.312804133,
220,430884,"Citigroup Maintains Neutral on Equity Commonwealth, Raises Price Target to $33",2020-04-07 10:40:00-04:00,EQC,Investment Strategies,0.164848119,Investment News,0.463952303,
278,1254084,Trinity Industries Expands its Buyback from $250M to $500M,2017-12-12 08:03:00-05:00,TRN,Fund Activities,0.16486235,Company News,0.364474058,
591,259309,"Commercial Metals Spokesperson, Responding to Earlier Takeover Chatter, Says Company Has No Comments Beyond January 11 Press Release",2012-01-18 14:30:00-05:00,CMC,M&A,0.164889023,Company News,0.575057149,
651,282485,"Societe Generale Upgrades ConocoPhillips from Hold to Buy, Announces PT of $65",2012-08-13 05:57:00-04:00,COP,Stock Trends,0.165499941,Investment News,0.444291592,
686,767690,Benzinga's Top Pre-Market Gainers,2013-07-24 08:22:00-04:00,LLY,Stock Trends,0.165501565,Market Trends,0.469446391,
687,767690,Benzinga's Top Pre-Market Gainers,2013-07-24 08:22:00-04:00,LLY,Stock Trends,0.165501565,Market Trends,0.469446391,
688,1410498,Benzinga's Top Pre-Market Gainers,2013-07-02 08:07:00-04:00,ZNGA,Stock Trends,0.165501565,Market Trends,0.469446391,
689,1410498,Benzinga's Top Pre-Market Gainers,2013-07-02 08:07:00-04:00,ZNGA,Stock Trends,0.165501565,Market Trends,0.469446391,
193,1321701,Rackspace to Host over 3 Million Daily Transactions with Vodafone M-PESA   ,2010-09-29 09:08:00-04:00,VOD,Banking News,0.165758565,Company News,0.381311923,
1120,1130850,SPAR Group Announces 2011 Revenue Guidance of $72M,2012-02-14 08:33:00-05:00,SGRP,Leadership,0.165844381,Company News,0.640806496,
547,972671,"Downtown Music Publishing, Pandora Sign Licensing Agreement Increasing Pandora's Advancements Into Direct Deals",2015-12-21 09:01:00-05:00,P,Legal & Regulatory,0.166214406,Company News,0.356192946,
269,603348,HCA Board Authorizes Additional $2 Billion Share Repurchase Program,2016-11-14 16:45:00-05:00,HCA,Fund Activities,0.166864023,Company News,0.374598652,
451,883931,"UPDATE Navidea May Receive Additional Milestone Payments Up to $5M, Royalties on Net Sales in Europe",2015-03-05 07:20:00-05:00,NAVB,Earnings,0.166875094,Company News,0.464222342,
164,1012585,"Barclays Maintains Equal-Weight on Packaging Corp of America, Lowers Price Target to $95",2018-10-29 11:06:00-04:00,PKG,Banking News,0.167593569,Investment News,0.319864273,
643,952402,"Credit Suisse Technology, Media & Telecom Conference Continues Today, Presenters Include: Intuit, Xerox, Splunk, Universal Display, Ultimate Software, Citrix Systems, Electronic Arts, Paycom Software and Ring Central",2017-11-28 08:53:00-05:00,OLED,Leadership,0.167833611,Global Events,0.288384408,
414,1149777,"Piper Jaffray Maintains Solera Holdings at Neutral, Lowers PT from $52 to $48",2012-05-09 06:34:00-04:00,SLH,Investment Strategies,0.167850688,Investment News,0.373396248,
623,1179494,"'Aramco Mulls US LNG Investment With Shortlist Of Four Projects' -Dow Jones, Citing Sources",2019-01-08 10:05:00-05:00,SRE,Investment Strategies,0.168677986,Company News,0.540989816,
173,919644,"UBS Research Summary (FLEX, ARW, BHI, BKI, CTXS, DPS, EGN, ESRX, ISIL, LIS, PH, TMO, UHS, WLP, XLNX, NSC)",2011-04-28 12:25:00-04:00,NSC,Energy Updates,0.169002861,Investment News,0.288922876,
621,859258,Research In Motion Downgraded on Talks of Company Split,2012-06-25 14:24:00-04:00,MS,Stock Trends,0.169557512,Company News,0.438331217,
407,67665,REMINDER: Alexion Pharmaceuticals Has PDUFA Date For Eculizumab sBLA Today,2017-10-23 08:59:00-04:00,ALXN,Legal & Regulatory,0.16962643,Company News,0.522857606,
1133,78291,What Investors Are Missing With VWO,2012-08-21 13:47:00-04:00,AND,Investment Strategies,0.170410529,Investment News,0.319447547,
377,1069646,"Berenberg Downgrades Royal Caribbean Cruises to Hold, Announces $127 Price Target",2020-01-17 06:46:00-05:00,RCL,Banking News,0.170541778,Investment News,0.499636263,
866,641975,"Morgan Stanley Maintains Overweight on Horizon Therapeutics, Raises Price Target to $50",2020-05-08 07:30:00-04:00,HZNP,Investment Strategies,0.170667216,Investment News,0.398675114,
275,353444,The Week Ahead: Fiscal Cliff Deadline Rapidly Approaching,2012-12-14 17:56:00-05:00,DFS,Fund Activities,0.170878604,Company News,0.237866014,
666,840305,"Stifel Nicolaus Maintains Buy on Altria Group, Raises PT to $40.00",2013-12-02 08:44:00-05:00,MO,Stock Trends,0.171038285,Investment News,0.400636554,
700,28240,"Credit Suisse Added Bristol-Myers Squibb, Vantiv to 'US Focus List,' ADP, Rowan Companies Removed",2013-10-28 08:25:00-04:00,ADP,Stock Trends,0.171178073,Industry Updates,0.303717881,
1021,878828,Mylan Option Alert: Sep 20 $20 Calls at the Ask: 4800 @ $0.681 vs 9870 OI; Ref=$18.63,2019-08-06 10:12:00-04:00,MYL,Investment Strategies,0.171221599,Investment News,0.341944784,
539,689249,"Benzinga Pro Morning Price Check For Major Averages: Dow 30 Up 173 (0.7%), Russell 2000 Up 10 (0.7%), S&P 500 Up 16 (0.6%), Nasdaq Up 40 (0.6%)",2019-01-25 09:35:00-05:00,IWM,Leadership,0.171621084,Market Trends,0.219951734,
961,1319799,Argus Research Downgrades Vornado Realty to Hold,2019-08-20 07:42:00-04:00,VNO,Investment Strategies,0.17178382,Investment News,0.405958325,
470,111752,"Sidoti & Co. Maintains Buy on AudioCodes, Lowers Price Target to $28",2020-03-18 09:40:00-04:00,AUDC,Leadership,0.17238608,Company News,0.323320448,
1100,1194052,"Seagate Technology Spokesperson Not Commenting on Rumor of TPG, Bain Bid",2012-11-21 12:00:00-05:00,STX,M&A,0.172481984,Company News,0.380600929,
1008,740269,"Michael Kors Holdings Ltd, Ralph Lauren Corp Made Social Media Impact At New York Fashion Week",2014-09-17 15:19:00-04:00,KORS,Asset Trends,0.172893256,Company News,0.417705059,
315,1214038,Prepare To Protect Yourself From Higher Interest Rates (TBT),2011-01-19 16:52:00-05:00,TBT,Banking News,0.173728958,Market Trends,0.247616291,
417,1110659,ReWalk Announces Purchase of Added 20 Personal Systems,2016-05-05 07:21:00-04:00,RWLK,Tech Developments,0.174264506,Company News,0.56334573,
952,1116577,Sussex Bancorp Increases Qtr. Dividend From $0.04 to $0.06/Share,2017-04-26 16:24:00-04:00,SBBX,Banking News,0.174379289,Company News,0.394307226,
409,1211450,Inbev Said To Win U.S. Antitrust Approval For SABMiller Deal,2016-07-20 13:21:00-04:00,TAP,M&A,0.174971104,Company News,0.465321451,
794,1349218,"Morgan Stanley Maintains Overweight on Werner Enterprises, Lowers Price Target to $42",2020-01-06 09:22:00-05:00,WERN,Investment Strategies,0.175374135,Investment News,0.48057121,
994,772444,ITT Wins Contract - Analyst Blog,2010-12-20 08:33:00-05:00,LMT,Tech Developments,0.175436854,Company News,0.528459013,
996,974406,"Goldman Sachs Upgrades Plains All American Pipeline from Buy to CL-Buy, Raises PT from $93 to $100",2012-05-10 07:04:00-04:00,PAA,Investment Strategies,0.175567716,Investment News,0.296836019,
1040,833888,"Benzinga’s Top Pre-Market NASDAQ Gainers (ARMH, DGIT, COGT, BRCD)",2010-08-31 08:21:00-04:00,MMM,Stock Trends,0.176490247,Market Trends,0.266281754,
493,196984,UPDATE: Jefferies Lowers PT on BorgWarner from $75 to $67,2012-07-27 11:35:00-04:00,BWA,Stock Trends,0.1772995,Investment News,0.396323651,
946,1209221,"Cantor Fitzgerald Downgrades Sysco Corporation to Sell, Maintains $28.00 PT",2013-05-03 06:48:00-04:00,SYY,Stock Trends,0.177342474,Company News,0.413810015,
1101,1402322,"Benzinga's Top Pre-Market NASDAQ Losers (CEDC, YRCW, AVGO, FITB)",2011-03-01 08:28:00-05:00,YRCW,Stock Trends,0.177580357,Market Trends,0.253131062,
848,1230014,Benzinga's Top #PreMarket Losers,2015-01-12 08:15:00-05:00,TIF,Stock Trends,0.178062052,Market Trends,0.434773952,
849,1230014,Benzinga's Top #PreMarket Losers,2015-01-12 08:15:00-05:00,TIF,Stock Trends,0.178062052,Market Trends,0.434773952,
850,1321874,Benzinga's Top #PreMarket Losers,2013-10-29 08:16:00-04:00,VOLC,Stock Trends,0.178062052,Market Trends,0.434773952,
851,1321874,Benzinga's Top #PreMarket Losers,2013-10-29 08:16:00-04:00,VOLC,Stock Trends,0.178062052,Market Trends,0.434773952,
501,615739,"Highwoods Reports Sale of $28.2M in Non-Core Buildings in Raleigh, North Carolina",2014-09-08 09:01:00-04:00,HIW,Real Estate Trends,0.178285837,Company News,0.521930337,
909,1015824,"Popeyes Louisiana Kitchen, Inc. CEO Implements New 10b5-1 Trading Plan",2015-11-24 16:22:00-05:00,PLKI,Leadership,0.178363323,Company News,0.530834734,
549,1268052,Toro Increases Qtr. Dividend From $0.25 To $0.30/Share,2015-12-03 08:33:00-05:00,TTC,Stock Trends,0.178438812,Company News,0.325229824,
153,30906,"Citigroup Downgrades Adtran from Buy to Neutral, Lowers PT from $35 to $25",2012-07-12 05:59:00-04:00,ADTN,Stock Trends,0.178697869,Investment News,0.505232632,
574,832973,5 Biggest Price Target Changes For Tuesday,2018-04-03 10:06:00-04:00,MMM,Stock Trends,0.178949833,Market Trends,0.294582337,
811,680632,IRIDEX Granted U.S. Patent for Stepped Angled Laser Handpieces Used in Eye Surgery (IRIX),2011-05-02 07:44:00-04:00,IRIX,Healthcare Innovations,0.17903778,Company News,0.392576367,
950,371627,Digimarc shares are trading lower after B. Riley downgraded the stock from Buy to Neutral. Needham also downgraded the stock from Buy to Hold.,2019-05-30 11:46:00-04:00,DMRC,Stock Trends,0.179115117,Investment News,0.357753992,
960,1156427,UPDATE: Stein Mart Reports Jun. Comps Up 5.8%,2015-07-09 07:33:00-04:00,SMRT,Stock Trends,0.179369882,Company News,0.465739727,
429,126538,"S&P Says May Upgrade Polyone, tw telecom, Acuity Brands, Ventas",2013-11-26 16:52:00-05:00,AYI,Stock Trends,0.179500774,Investment News,0.368271142,
42,307942,Cornerstone OnDemand Guides Q2 Revenues Of $137M-$140M Vs. $137.36M Estimate; Guides FY19 Revenues Of $562M-$570M Vs. $563.72M Estimate,2019-05-07 16:47:00-04:00,CSOD,Leadership,0.179668739,Company News,0.317814618,
859,1267741,TSU hits 52-Week low,2011-11-16 09:31:00-05:00,TSU,Stock Trends,0.179930061,Company News,0.259966791,
1099,732397,Janney Capital Initiates Coverage on Kemper at Buy,2016-04-05 06:58:00-04:00,KMPR,Investment Strategies,0.179933146,Investment News,0.46651569,
916,862636,McDonald's Returns To Chicago Searching For Millennials Despite City Troubles,2016-06-14 17:18:00-04:00,MSI,Asset Trends,0.180477649,Company News,0.378728539,
795,109483,Funko Shares Plunge To New Lows — But Why?,2018-09-12 15:32:00-04:00,ATVI,Stock Trends,0.180835098,Market Trends,0.252415925,
1118,1036036,"Stocks Which Set New 52-Week Low The Last Trading Session, Fri., Dec. 7, 2018",2018-12-10 11:01:00-05:00,PRU,Stock Trends,0.180974662,Investment News,0.277918398,
771,1348972,Wendy's Sees Comp Sales Growth of 2-3% in FY2012,2012-03-12 13:10:00-04:00,WEN,Leadership,0.181235418,Company News,0.419438004,
485,609338,"Morgan Stanley Maintains Equal-weight on HD Supply Holdings, Raises PT to $34.00, Sees Rooms For Valuation To Expand",2016-03-21 06:17:00-04:00,HDS,Stock Trends,0.182628304,Investment News,0.471128881,
